sample_ID	province	Latitude	Longitude	health zone
equbole100001	Equateur	0.034349	18.2671222	Bolenge
equbole100002	Equateur	0.034349	18.2671222	Bolenge
equbole100005	Equateur	0.034349	18.2671222	Bolenge
equbole100006	Equateur	0.034349	18.2671222	Bolenge
equbole100007	Equateur	0.034349	18.2671222	Bolenge
equbole100008	Equateur	0.034349	18.2671222	Bolenge
equbole100009	Equateur	0.034349	18.2671222	Bolenge
equbole100010	Equateur	0.034349	18.2671222	Bolenge
equbole100015	Equateur	0.034349	18.2671222	Bolenge
equbole100079	Equateur	0.034349	18.2671222	Bolenge
equbole100081	Equateur	0.034349	18.2671222	Bolenge
equbole100082	Equateur	0.034349	18.2671222	Bolenge
equbole100085	Equateur	0.034349	18.2671222	Bolenge
equbole100105	Equateur	0.034349	18.2671222	Bolenge
equbole100106	Equateur	0.034349	18.2671222	Bolenge
equbole100107	Equateur	0.034349	18.2671222	Bolenge
equbole100118	Equateur	0.034349	18.2671222	Bolenge
equbole200001	Equateur	0.034349	18.2671222	Bolenge
equbole200002	Equateur	0.034349	18.2671222	Bolenge
equbole200003	Equateur	0.034349	18.2671222	Bolenge
equbole200004	Equateur	0.034349	18.2671222	Bolenge
equbole200005	Equateur	0.034349	18.2671222	Bolenge
equbole200006	Equateur	0.034349	18.2671222	Bolenge
equbole200007	Equateur	0.034349	18.2671222	Bolenge
equbole200009	Equateur	0.034349	18.2671222	Bolenge
equbole200010	Equateur	0.034349	18.2671222	Bolenge
equbole200012	Equateur	0.034349	18.2671222	Bolenge
equbole200013	Equateur	0.034349	18.2671222	Bolenge
equbole200014	Equateur	0.034349	18.2671222	Bolenge
equbole200015	Equateur	0.034349	18.2671222	Bolenge
equbole200016	Equateur	0.034349	18.2671222	Bolenge
equbole200079	Equateur	0.034349	18.2671222	Bolenge
equbole200080	Equateur	0.034349	18.2671222	Bolenge
equbole200081	Equateur	0.034349	18.2671222	Bolenge
equbole200082	Equateur	0.034349	18.2671222	Bolenge
equbole200083	Equateur	0.034349	18.2671222	Bolenge
equbole200084	Equateur	0.034349	18.2671222	Bolenge
equbole200085	Equateur	0.034349	18.2671222	Bolenge
equbole200086	Equateur	0.034349	18.2671222	Bolenge
equbole200087	Equateur	0.034349	18.2671222	Bolenge
equbole200088	Equateur	0.034349	18.2671222	Bolenge
equbole200105	Equateur	0.034349	18.2671222	Bolenge
equbole200106	Equateur	0.034349	18.2671222	Bolenge
equbole200107	Equateur	0.034349	18.2671222	Bolenge
equbole200108	Equateur	0.034349	18.2671222	Bolenge
equbole200109	Equateur	0.034349	18.2671222	Bolenge
equbole300001	Equateur	0.034349	18.2671222	Bolenge
equbole300002	Equateur	0.034349	18.2671222	Bolenge
equbole300003	Equateur	0.034349	18.2671222	Bolenge
equbole300013	Equateur	0.034349	18.2671222	Bolenge
equbole300014	Equateur	0.034349	18.2671222	Bolenge
equbole300015	Equateur	0.034349	18.2671222	Bolenge
equbole300016	Equateur	0.034349	18.2671222	Bolenge
equbole300020	Equateur	0.034349	18.2671222	Bolenge
equbole400047	Equateur	0.034349	18.2671222	Bolenge
equbole400052	Equateur	0.034349	18.2671222	Bolenge
equbole400053	Equateur	0.034349	18.2671222	Bolenge
equbole400059	Equateur	0.034349	18.2671222	Bolenge
equbole400060	Equateur	0.034349	18.2671222	Bolenge
equbole400110	Equateur	0.034349	18.2671222	Bolenge
equbole400117	Equateur	0.034349	18.2671222	Bolenge
kasmika100001	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100002	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100003	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100004	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100005	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100007	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100008	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100009	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100010	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100011	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100012	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100013	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100014	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100016	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100017	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100018	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100020	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100021	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100022	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100023	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100024	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100025	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100026	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100027	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100028	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100029	Kasai Central	-5.8972842	22.4004362	Mikalayi
kasmika100030	Kasai Central	-5.8972842	22.4004362	Mikalayi
